# schema_version: 1.0.0
base_item,variant_id,namespace,model_path
black_concrete,1,,
black_concrete,2,other,wire/electric_wire_unit
black_concrete,3,other,wire/wire
black_concrete,4,other,wire/fence
diamond_pickaxe,1,toasaga,other/1
diamond_pickaxe,2,toasaga,other/2
diamond_pickaxe,3,toasaga,other/3
diamond_pickaxe,4,toasaga,other/4
diamond_pickaxe,5,toasaga,other/5
diamond_pickaxe,6,toasaga,other/6
diamond_pickaxe,7,toasaga,other/7
diamond_pickaxe,8,toasaga,other/8
diamond_pickaxe,9,toasaga,other/9
diamond_pickaxe,10,toasaga,other/10
diamond_pickaxe,11,toasaga,other/11
diamond_pickaxe,12,,
diamond_pickaxe,13,toasaga,other/13
diamond_pickaxe,14,toasaga,other/14
diamond_pickaxe,15,toasaga,other/15
diamond_pickaxe,16,toasaga,other/16
diamond_pickaxe,17,toasaga,other/17
diamond_pickaxe,18,toasaga,other/18
diamond_pickaxe,19,toasaga,other/19
diamond_pickaxe,20,toasaga,other/20
diamond_pickaxe,21,toasaga,other/21
diamond_pickaxe,22,toasaga,other/22
diamond_pickaxe,23,toasaga,other/23
diamond_pickaxe,24,toasaga,other/24
diamond_pickaxe,25,toasaga,other/25
diamond_pickaxe,26,toasaga,other/26
diamond_pickaxe,27,toasaga,other/27
diamond_pickaxe,28,toasaga,other/28
diamond_pickaxe,29,toasaga,other/29
diamond_pickaxe,30,toasaga,other/30
diamond_pickaxe,31,toasaga,other/31
diamond_pickaxe,32,toasaga,other/32
diamond_pickaxe,33,toasaga,other/33
diamond_pickaxe,34,toasaga,other/34
diamond_pickaxe,35,toasaga,other/35
diamond_pickaxe,36,toasaga,other/36
diamond_pickaxe,37,toasaga,other/37
diamond_pickaxe,38,toasaga,other/38
diamond_pickaxe,39,toasaga,other/39
diamond_pickaxe,40,toasaga,other/40
diamond_pickaxe,41,toasaga,other/41
diamond_pickaxe,42,toasaga,other/42
diamond_pickaxe,43,toasaga,other/43
diamond_pickaxe,44,toasaga,other/44
diamond_pickaxe,45,toasaga,other/45
diamond_pickaxe,46,,
diamond_pickaxe,47,toasaga,other/47
diamond_pickaxe,48,toasaga,other/48
diamond_pickaxe,49,,
diamond_pickaxe,50,,
diamond_pickaxe,51,,
diamond_pickaxe,52,,
diamond_pickaxe,53,,
